   System Information:
   ----------------------------------------------------
     Number of correlated electrons = 20
     Number of correlated orbitals = 266
     Number of frozen orbitals = 2
     Number of alpha occupied orbitals = 10
     Number of alpha unoccupied orbitals = 256
     Number of beta occupied orbitals = 10
     Number of beta unoccupied orbitals = 256
     Charge = 0
     Point group = D2H
     Symmetry of reference = AG
     Spin multiplicity of reference = 1

      MO #        Energy (a.u.)      Symmetry    Occupation
       189             5.302098           B2G           0.0
       190             5.302098           B3G           0.0
       191             5.310898           B3U           0.0
       192             5.310898           B2U           0.0
       193             5.321198            AU           0.0
       194             5.321198           B1U           0.0
       195             5.374798            AG           0.0
       196             5.379498           B3G           0.0
       197             5.379498           B2G           0.0
       198             5.451198           B1U           0.0
       199             7.284697           B3U           0.0
       200             7.284697           B2U           0.0
       201             7.285797            AG           0.0
       202             7.285797           B1G           0.0
       203             7.288897            AU           0.0
       204             7.288897           B1U           0.0
       205             7.294997           B1G           0.0
       206             7.294997            AG           0.0
       207             7.295697           B2G           0.0
       208             7.295697           B3G           0.0
       209             7.300897            AG           0.0
       210             7.306197           B1U           0.0
       211             7.306197            AU           0.0
       212             7.309097           B2G           0.0
       213             7.309097           B3G           0.0
       214             7.311297           B3U           0.0
       215             7.311297           B2U           0.0
       216             7.332297           B1U           0.0
       217             9.493296           B1G           0.0
       218             9.493296            AG           0.0
       219             9.498796           B3U           0.0
       220             9.498796           B2U           0.0
       221             9.503696           B1U           0.0
       222             9.503696            AU           0.0
       223             9.539096            AG           0.0
       224             9.563396           B2G           0.0
       225             9.563396           B3G           0.0
       226             9.640696           B1U           0.0
       227            10.568495            AG           0.0
       228            10.652695           B1U           0.0
       229            17.371493           B3U           0.0
       230            17.371493           B2U           0.0
       231            17.383993           B2G           0.0
       232            17.383993           B3G           0.0
       233            17.403193            AG           0.0
       234            17.546893           B1U           0.0
       235            20.858891            AG           0.0
       236            20.858891           B1G           0.0
       237            20.859091           B3U           0.0
       238            20.859091           B2U           0.0
       239            20.861991           B2G           0.0
       240            20.861991           B3G           0.0
       241            20.863991           B3U           0.0
       242            20.863991           B2U           0.0
       243            20.868991            AU           0.0
       244            20.868991           B1U           0.0
       245            20.885091            AG           0.0
       246            20.891391           B3G           0.0
       247            20.891391           B2G           0.0
       248            20.913091           B1U           0.0
       249            27.772188           B1G           0.0
       250            27.772188            AG           0.0
       251            27.776488           B2U           0.0
       252            27.776488           B3U           0.0
       253            27.779388           B1U           0.0
       254            27.779388            AU           0.0
       255            27.808088            AG           0.0
       256            27.821088           B2G           0.0
       257            27.821088           B3G           0.0
       258            27.877988           B1U           0.0
       259            39.928283            AG           0.0
       260            39.996983           B1U           0.0
       261            74.094568           B3U           0.0
       262            74.094568           B2U           0.0
       263            74.102868           B3G           0.0
       264            74.102868           B2G           0.0
       265            74.116268            AG           0.0
       266            74.210968           B1U           0.0
       267           205.190013            AG           0.0
       268           205.281013           B1U           0.0

   Nuclear Repulsion Energy = 19.5388522796
   Reference Energy = -399.2258236889799

   --------------------------------------------------
   Calculation type =  CCSD
   Maximum iterations = 80
   Convergence tolerance = 1e-08
   Energy shift = 0.0
   DIIS size =  6
   RHF symmetry = False
   --------------------------------------------------

   CC calculation started at 2022-04-03 22:31:00 

   Energy of initial guess =         0.0000000000

      Iter.     Residuum             δE                ΔE           Wall time
    ----------------------------------------------------------------------------
       0      0.3566619826     -0.6012907089     -0.6012907089   (26.0m 51.0s)
       1      0.0870517228     -0.0377797103     -0.6390704192   (17.0m 59.6s)
       2      0.0387501632     -0.0064563473     -0.6455267665   (20.0m 40.2s)
       3      0.0188375936     -0.0018054970     -0.6473322635   (20.0m 25.2s)
       4      0.0099791231     -0.0007931322     -0.6481253957    (20.0m 8.4s)
       5      0.0055560307     -0.0003709678     -0.6484963635    (21.0m 7.6s)
   DIIS Cycle - 1
       6      0.0032619852     -0.0001889936     -0.6486853571   (21.0m 56.2s)
       7      0.0004148559     -0.0002173495     -0.6489027066   (21.0m 52.2s)
       8      0.0002672547      0.0000046319     -0.6488980747   (22.0m 32.4s)
       9      0.0001790225      0.0000012194     -0.6488968553   (21.0m 29.8s)
      10      0.0001211401      0.0000005535     -0.6488963018   (20.0m 51.8s)
      11      0.0000829135      0.0000003047     -0.6488959971   (20.0m 54.6s)
   DIIS Cycle - 2
      12      0.0000569008      0.0000001255     -0.6488958716    (22.0m 4.2s)
      13      0.0000009172      0.0000000801     -0.6488957915   (22.0m 51.9s)
      14      0.0000005295     -0.0000000223     -0.6488958138   (22.0m 32.8s)
      15      0.0000003368     -0.0000000086     -0.6488958224   (20.0m 52.5s)
      16      0.0000002236     -0.0000000039     -0.6488958264   (24.0m 18.9s)
      17      0.0000001500     -0.0000000018     -0.6488958282   (23.0m 17.7s)
   DIIS Cycle - 3
      18      0.0000001017     -0.0000000009     -0.6488958291   (21.0m 51.2s)
      19      0.0000000040     -0.0000000010     -0.6488958301   (20.0m 33.2s)
   CC calculation successfully converged! (435.00m  11.41s)

   CC Calculation Summary
  --------------------------------------------------
   Reference energy                   -399.22582369
   CC correlation energy                -0.64889583
   Total CC energy                    -399.87471952

   CC calculation ended at 2022-04-04 05:46:44

